index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,team_name,player_name,zone,date_time,caseId,end_time
180465950,8,Simple pass,[1801],3359,"[{'y': 50, 'x': 50}, {'y': 50, 'x': 40}]",2565554,Pass,676,1H,1.012047,85,Barcelona,L. Messi,C2,2018-05-20 00:00:01.012047,1.0,2018-05-20 00:00:01.012047
180465951,8,Simple pass,[1801],3346,"[{'y': 50, 'x': 40}, {'y': 69, 'x': 43}]",2565554,Pass,676,1H,3.528288,85,Barcelona,Sergio Busquets,B2,2018-05-20 00:00:03.528288,1.0,2018-05-20 00:00:03.528288
180465952,8,Simple pass,[1801],3476,"[{'y': 69, 'x': 43}, {'y': 96, 'x': 44}]",2565554,Pass,676,1H,6.260533,85,Barcelona,I. Rakitic,B3,2018-05-20 00:00:06.260533,1.0,2018-05-20 00:00:11.405818
180465955,8,Simple pass,[1801],25397,"[{'y': 21, 'x': 33}, {'y': 4, 'x': 40}]",2565554,Pass,676,1H,15.562406,85,Barcelona,S. Umtiti,B1,2018-05-20 00:00:15.562406,1.0,2018-05-20 00:00:25.459950
180465959,1,Ground attacking duel,"[701, 1802]",3347,"[{'y': 6, 'x': 57}, {'y': 6, 'x': 63}]",2565554,Duel,676,1H,27.346611,11,Barcelona,Sergi Roberto,C1,2018-05-20 00:00:27.346611,1.0,2018-05-20 00:00:27.346611
180465961,8,Simple pass,"[1401, 1801]",3347,"[{'y': 3, 'x': 66}, {'y': 3, 'x': 81}]",2565554,Pass,676,1H,31.208721,85,Barcelona,Sergi Roberto,C1,2018-05-20 00:00:31.208721,2.0,2018-05-20 00:00:31.208721
180465962,8,Simple pass,[1801],3291,"[{'y': 3, 'x': 81}, {'y': 9, 'x': 81}]",2565554,Pass,676,1H,35.169522,85,Barcelona,Paco Alcacer,D1,2018-05-20 00:00:35.169522,2.0,2018-05-20 00:00:38.966377
180465964,8,High pass,[1801],3346,"[{'y': 15, 'x': 66}, {'y': 84, 'x': 66}]",2565554,Pass,676,1H,41.067212,83,Barcelona,Sergio Busquets,C1,2018-05-20 00:00:41.067212,2.0,2018-05-20 00:00:41.067212
180465965,8,Simple pass,[1801],222770,"[{'y': 84, 'x': 66}, {'y': 70, 'x': 60}]",2565554,Pass,676,1H,45.721159,85,Barcelona,Nelson Semedo,C3,2018-05-20 00:00:45.721159,2.0,2018-05-20 00:00:48.511949
180465967,8,Simple pass,[1801],3346,"[{'y': 61, 'x': 66}, {'y': 64, 'x': 71}]",2565554,Pass,676,1H,49.901515,85,Barcelona,Sergio Busquets,C2,2018-05-20 00:00:49.901515,2.0,2018-05-20 00:00:51.068905
180465969,8,Simple pass,[1801],3476,"[{'y': 67, 'x': 54}, {'y': 36, 'x': 56}]",2565554,Pass,676,1H,53.257884,85,Barcelona,I. Rakitic,C3,2018-05-20 00:00:53.257884,2.0,2018-05-20 00:00:53.257884
180465970,8,Simple pass,[1801],3347,"[{'y': 36, 'x': 56}, {'y': 6, 'x': 68}]",2565554,Pass,676,1H,56.308517,85,Barcelona,Sergi Roberto,C2,2018-05-20 00:00:56.308517,2.0,2018-05-20 00:00:56.308517
180465971,8,Simple pass,[1801],3269,"[{'y': 6, 'x': 68}, {'y': 13, 'x': 56}]",2565554,Pass,676,1H,59.772452,85,Barcelona,Jordi Alba,C1,2018-05-20 00:00:59.772452,2.0,2018-05-20 00:01:02.073608
180465974,8,Simple pass,[1801],3355,"[{'y': 52, 'x': 51}, {'y': 69, 'x': 60}]",2565554,Pass,676,1H,65.619455,85,Barcelona,J. Mascherano,C2,2018-05-20 00:01:05.619455,2.0,2018-05-20 00:01:05.619455
180465975,8,Smart pass,"[901, 1802]",3476,"[{'y': 69, 'x': 60}, {'y': 47, 'x': 94}]",2565554,Pass,676,1H,67.490998,86,Barcelona,I. Rakitic,C3,2018-05-20 00:01:07.490998,2.0,2018-05-20 00:01:07.490998
180465977,1,Ground defending duel,"[703, 1801]",3269,"[{'y': 7, 'x': 62}, {'y': 15, 'x': 57}]",2565554,Duel,676,1H,89.061664,12,Barcelona,Jordi Alba,C1,2018-05-20 00:01:29.061664,3.0,2018-05-20 00:01:33.703292
180465981,8,Simple pass,[1801],25397,"[{'y': 12, 'x': 46}, {'y': 58, 'x': 42}]",2565554,Pass,676,1H,95.723362,85,Barcelona,S. Umtiti,B1,2018-05-20 00:01:35.723362,3.0,2018-05-20 00:01:35.723362
180465982,8,Simple pass,[1801],3355,"[{'y': 58, 'x': 42}, {'y': 39, 'x': 49}]",2565554,Pass,676,1H,100.622396,85,Barcelona,J. Mascherano,B2,2018-05-20 00:01:40.622396,3.0,2018-05-20 00:01:42.039486
180465984,1,Ground attacking duel,"[702, 1801]",3476,"[{'y': 61, 'x': 52}, {'y': 66, 'x': 51}]",2565554,Duel,676,1H,108.772472,11,Barcelona,I. Rakitic,C2,2018-05-20 00:01:48.772472,4.0,2018-05-20 00:01:50.115973
180465986,8,Simple pass,[1801],3346,"[{'y': 51, 'x': 48}, {'y': 33, 'x': 40}]",2565554,Pass,676,1H,111.317641,85,Barcelona,Sergio Busquets,B2,2018-05-20 00:01:51.317641,4.0,2018-05-20 00:01:57.650381
180465989,8,Simple pass,[1801],222770,"[{'y': 91, 'x': 47}, {'y': 79, 'x': 41}]",2565554,Pass,676,1H,121.411379,85,Barcelona,Nelson Semedo,B3,2018-05-20 00:02:01.411379,4.0,2018-05-20 00:02:04.035638
180465991,8,Simple pass,[1801],3346,"[{'y': 66, 'x': 48}, {'y': 22, 'x': 38}]",2565554,Pass,676,1H,124.802397,85,Barcelona,Sergio Busquets,B2,2018-05-20 00:02:04.802397,4.0,2018-05-20 00:02:04.802397
180465992,8,Simple pass,[1801],25397,"[{'y': 22, 'x': 38}, {'y': 5, 'x': 62}]",2565554,Pass,676,1H,128.63042,85,Barcelona,S. Umtiti,B1,2018-05-20 00:02:08.630420,4.0,2018-05-20 00:02:08.630420
180465993,8,Simple pass,[1801],3269,"[{'y': 5, 'x': 62}, {'y': 12, 'x': 74}]",2565554,Pass,676,1H,130.494313,85,Barcelona,Jordi Alba,C1,2018-05-20 00:02:10.494313,4.0,2018-05-20 00:02:12.997693
180465996,1,Ground loose ball duel,"[703, 1801]",3347,"[{'y': 11, 'x': 76}, {'y': 25, 'x': 91}]",2565554,Duel,676,1H,134.122316,13,Barcelona,Sergi Roberto,D1,2018-05-20 00:02:14.122316,4.0,2018-05-20 00:02:14.122316
180466001,1,Ground defending duel,"[503, 1601, 701, 1802]",3346,"[{'y': 11, 'x': 75}, {'y': 7, 'x': 60}]",2565554,Duel,676,1H,164.245389,12,Barcelona,Sergio Busquets,D1,2018-05-20 00:02:44.245389,6.0,2018-05-20 00:02:44.245389
