index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,team_name,player_name,zone,date_time,caseId,end_time
180465997,8,Cross,"[302, 402, 1801]",3347,"[{'y': 25, 'x': 91}, {'y': 56, 'x': 90}]",2565554,Pass,676,1H,137.03939,80,Barcelona,Sergi Roberto,D1,2018-05-20 00:02:17.039390,5.0,2018-05-20 00:02:17.039390
180465998,10,Shot,"[402, 201, 1210, 1802]",3348,"[{'y': 56, 'x': 90}, {'y': 0, 'x': 0}]",2565554,Shot,676,1H,138.969024,100,Barcelona,Deulofeu,D2,2018-05-20 00:02:18.969024,5.0,2018-05-20 00:02:18.969024
180466016,1,Ground attacking duel,"[703, 1801]",3359,"[{'y': 62, 'x': 62}, {'y': 64, 'x': 69}]",2565554,Duel,676,1H,200.769213,11,Barcelona,L. Messi,C2,2018-05-20 00:03:20.769213,8.0,2018-05-20 00:03:22.404458
180466018,8,Simple pass,[1801],3359,"[{'y': 74, 'x': 83}, {'y': 61, 'x': 77}]",2565554,Pass,676,1H,204.912191,85,Barcelona,L. Messi,D3,2018-05-20 00:03:24.912191,8.0,2018-05-20 00:03:24.912191
180466019,1,Ground loose ball duel,"[701, 1802]",3348,"[{'y': 61, 'x': 77}, {'y': 62, 'x': 72}]",2565554,Duel,676,1H,205.679752,13,Barcelona,Deulofeu,D2,2018-05-20 00:03:25.679752,8.0,2018-05-20 00:03:25.679752
180466020,1,Ground attacking duel,"[1401, 503, 703, 1801]",3476,"[{'y': 56, 'x': 78}, {'y': 56, 'x': 76}]",2565554,Duel,676,1H,211.828859,11,Barcelona,I. Rakitic,D2,2018-05-20 00:03:31.828859,9.0,2018-05-20 00:03:32.864260
180466022,1,Ground attacking duel,"[502, 703, 1801]",3359,"[{'y': 34, 'x': 42}, {'y': 61, 'x': 82}]",2565554,Duel,676,1H,215.853365,11,Barcelona,L. Messi,B2,2018-05-20 00:03:35.853365,10.0,2018-05-20 00:03:35.853365
180466023,10,Shot,"[401, 201, 1215, 1802]",3359,"[{'y': 61, 'x': 82}, {'y': 0, 'x': 0}]",2565554,Shot,676,1H,217.537011,100,Barcelona,L. Messi,D2,2018-05-20 00:03:37.537011,10.0,2018-05-20 00:03:37.537011
180466123,1,Ground loose ball duel,"[701, 1802]",3346,"[{'y': 66, 'x': 87}, {'y': 69, 'x': 80}]",2565554,Duel,676,1H,704.636687,13,Barcelona,Sergio Busquets,D2,2018-05-20 00:11:44.636687,23.0,2018-05-20 00:11:44.636687
180466124,1,Ground defending duel,"[501, 601, 701, 1802]",3347,"[{'y': 69, 'x': 80}, {'y': 52, 'x': 81}]",2565554,Duel,676,1H,706.284762,12,Barcelona,Sergi Roberto,D3,2018-05-20 00:11:46.284762,23.0,2018-05-20 00:11:46.284762
180466128,1,Ground defending duel,"[601, 703, 1801]",3347,"[{'y': 18, 'x': 74}, {'y': 13, 'x': 81}]",2565554,Duel,676,1H,731.882274,12,Barcelona,Sergi Roberto,C1,2018-05-20 00:12:11.882274,26.0,2018-05-20 00:12:11.882274
180466129,8,Simple pass,[1801],3291,"[{'y': 13, 'x': 81}, {'y': 29, 'x': 84}]",2565554,Pass,676,1H,733.295149,85,Barcelona,Paco Alcacer,D1,2018-05-20 00:12:13.295149,26.0,2018-05-20 00:12:13.843117
180466131,8,Simple pass,[1801],3347,"[{'y': 36, 'x': 78}, {'y': 67, 'x': 70}]",2565554,Pass,676,1H,735.432026,85,Barcelona,Sergi Roberto,D2,2018-05-20 00:12:15.432026,26.0,2018-05-20 00:12:15.432026
180466132,8,High pass,[1802],3359,"[{'y': 67, 'x': 70}, {'y': 14, 'x': 81}]",2565554,Pass,676,1H,741.111314,83,Barcelona,L. Messi,C3,2018-05-20 00:12:21.111314,26.0,2018-05-20 00:12:21.111314
180466173,8,Simple pass,"[1901, 1401, 1801]",3346,"[{'y': 26, 'x': 68}, {'y': 58, 'x': 85}]",2565554,Pass,676,1H,1002.294201,85,Barcelona,Sergio Busquets,C1,2018-05-20 00:16:42.294201,36.0,2018-05-20 00:16:42.294201
180466174,8,Simple pass,"[302, 1901, 1801]",3359,"[{'y': 58, 'x': 85}, {'y': 64, 'x': 90}]",2565554,Pass,676,1H,1003.915186,85,Barcelona,L. Messi,D2,2018-05-20 00:16:43.915186,36.0,2018-05-20 00:16:45.529767
180466180,1,Ground defending duel,"[703, 1801]",222770,"[{'y': 81, 'x': 86}, {'y': 77, 'x': 86}]",2565554,Duel,676,1H,1017.706874,12,Barcelona,Nelson Semedo,D3,2018-05-20 00:16:57.706874,38.0,2018-05-20 00:17:00.508457
180466182,1,Ground attacking duel,"[502, 703, 1801]",3359,"[{'y': 59, 'x': 79}, {'y': 58, 'x': 79}]",2565554,Duel,676,1H,1022.296389,11,Barcelona,L. Messi,D2,2018-05-20 00:17:02.296389,38.0,2018-05-20 00:17:03.328171
